Unnamed: 0,url,date,speech_id,sentence_id,label,sentence_text,Kodierung,Kommentar,Manually Checked
1,https://ec.europa.eu/commission/presscorner/detail/en/speech_07_513,2007-09-10,12948,36,,There are those who argue that globalisation has made the EU redundant ; that regional groupings in a global age are an anachronism .,888,,
2,https://ec.europa.eu/commission/presscorner/detail/en/speech_12_326,2012-05-04,11079,40,,Entrepreneurs need the tools to network better – and I 'm working on that .,0,,
3,https://ec.europa.eu/commission/presscorner/detail/en/speech_09_210,2009-05-01,11632,66,,Let 's keep it that way .,0,,
4,https://ec.europa.eu/commission/presscorner/detail/en/speech_09_82,2009-03-01,8005,23,,There really was regarding financial matters a great endorsement of the general lines of the High level group that I have established under the leadership of M. de Larosière regarding financial regulation and supervision .,0,,
5,https://ec.europa.eu/commission/presscorner/detail/en/speech_16_2428,2016-07-06,12512,3,,"We regret the decision taken by the British electorate on 23 June , but we must respect it .",0,,
6,https://ec.europa.eu/commission/presscorner/detail/en/speech_01_486,2001-10-25,10792,28,,The focus on children in humanitarian assistance is likely to be continued in 2002 .,0,,
7,https://ec.europa.eu/commission/presscorner/detail/en/speech_18_3831,2018-09-03,23602,43,,"Farming and food production needs to get smarter , cleaner , and greener – and fast .",0,,
8,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_3311,2022-05-27,24968,35,,Thank you .,0,,
9,https://ec.europa.eu/commission/presscorner/detail/en/speech_06_182,2006-03-20,8928,61,,"Such challenges would comprise of governance , conflict , food security , trafficking and resource sharing , security , and religious fundamentalism .",0,,
10,https://ec.europa.eu/commission/presscorner/detail/en/speech_08_50,2008-01-30,28116,23,,"On the 18th of January 2008 , I announced that the Commission will launch a dialogue leading towards visa liberalization with Serbia .",0,,
11,https://ec.europa.eu/commission/presscorner/detail/en/speech_98_152,1998-07-06,11761,21,,It is also most appropriate and a great pleasure to be in Vienna at the start of the six - month Austrian Presidency of the European Union .,0,,
12,https://ec.europa.eu/commission/presscorner/detail/en/speech_94_61,1994-05-30,25854,30,,"This means that we have a crucial need , a vital need , for an energy vision which encompasses the whole of our continent .",0,,
13,https://ec.europa.eu/commission/presscorner/detail/en/speech_17_5898,2017-11-12,16120,7,,Now the time has come to live up to that commitment and put our pledges into practice .,0,,
14,https://ec.europa.eu/commission/presscorner/detail/en/speech_10_22,2010-02-09,28286,6,,It is one of our most important duties as politicians to ensure the protection of children 's rights .,0,,
15,https://ec.europa.eu/commission/presscorner/detail/en/speech_01_523,2001-11-01,1082,18,,"Indeed , one of my first initiatives on arriving at the Commission two years ago , was to put forward a package of anti-discrimination measures .",0,,
16,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_6144,2022-10-12,11995,12,,"Finally , the College also made a series of Human Resources appointments .",0,,
17,https://ec.europa.eu/commission/presscorner/detail/en/speech_22_5916,2022-10-06,23514,41,,"And all this work is complemented by the European Commission 's Knowledge Centre for the Bioeconomy , led by our colleagues in the Joint Research Centre .",0,,
18,https://ec.europa.eu/commission/presscorner/detail/en/speech_92_52,1992-05-25,629,160,,Conclusions,0,,
19,https://ec.europa.eu/commission/presscorner/detail/en/speech_13_779,2013-10-04,15435,24,,It is important that your activities : complement the governmental track of the Eastern Partnership ; and provide specific input and recommendations to help us evaluate and promote the implementation and impact of the Partnership .,0,,
20,https://ec.europa.eu/commission/presscorner/detail/en/speech_03_588,2003-12-02,10427,26,,We see this also reflected in international competitiveness benchmarking .,0,,
21,https://ec.europa.eu/commission/presscorner/detail/en/speech_00_127,2000-04-10,10091,6,,"This region also needs to prepare for expansion , since it borders onto three candidate countries ( Hungary , Slovenia and Slovakia ) .",0,,
22,https://ec.europa.eu/commission/presscorner/detail/en/speech_95_106,1995-05-26,1600,57,,"But the WTO is a rules - based organisation , and it would be of no use either to China or to the organisation to engineer membership on false terms .",0,,
